NAME,Distance,Mass,Radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Pistol Star,"025,000",100,320,K2-108 b,1582,0.18689 jupiters,12.33,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3451/k2-108-b/,Gas Giant,2017,0.18689 Jupiters,0.476 x Jupiter,0.0581 AU,4.7 days,0.18,K2-107,b,k2-107 b,Transit,0,1,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,,,,,,,,,,,,,,1.426,0.049,-0.049,0,,,,,0,0,1,1,18h59m56.49s,284.985382,-22d17m36.2s,-22.293402,696.95,19.71,-19.71,0,698.11,20.51,-20.51,0,12.920,0.010,0,V (Johnson),12.767,,0,6061.00,96.00,-96.00,0,1.30,0.05,-0.05,0,1.81,0.06,-0.06,0,2018-10-26,K2
S Doradus,"0169,000",24,380,HD 45364 b,112,0.1872 jupiters,8.062,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6639/hd-45364-b/,Gas Giant,2008,0.1872 Jupiters,0.8 x Jupiter,0.6813 AU,226.9 days,0.17,HD 45364,b,hd 45364 b,Radial Velocity,0,2,226.93000000,0.37000000,-0.37000000,0,0.681300,,,0,0.168400,0.019000,-0.019000,0,,,,,0.18720,,,0,Msini,,,,,,,,,0,0,0,0,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,0.04,-0.04,0,34.39,0.04,-0.04,0,8.062,0.012,0,V (Johnson),7.880,,0,5434.00,20.00,-20.00,0,0.82,0.05,-0.05,0,,,,,2014-05-14,La Silla Observatory
UY Scuti,"05,100",7–10,755,Kepler-950 b,4857,0.188 jupiters,15.681,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4402/kepler-950-b/,Gas Giant,2016,0.188 Jupiters,0.801 x Jupiter,Unknown,98.7 days,0.0,Kepler-953,b,kepler-953 b,Transit,0,2,88.40655258,0.00008306,-0.00008306,0,,,,,,,,,,,,,,,,,,0.376,0.033,-0.029,0,,,,,0,1,0,1,19h15m53.20s,288.971662,+44d37m28.3s,44.624531,240.00,20.99,-17.50,0,1123.79,431.41,-431.41,0,12.160,,0,Kepler-band,12.143,,0,5416.00,40.78,-45.57,0,0.95,0.03,-0.03,0,0.99,0.09,-0.07,0,2016-05-10,Kepler
Barnard's Star,05.98,0.14,0.20,Kepler-817 b,4570,0.189 jupiters,15.597,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5516/kepler-817-b/,Gas Giant,2016,0.189 Jupiters,0.806 x Jupiter,Unknown,4 days,0.0,Kepler-813,b,kepler-813 b,Transit,0,1,19.12947337,0.00007455,-0.00007455,0,,,,,,,,,,,,,,,,,,0.191,0.037,-0.017,0,,,,,0,1,0,1,19h02m39.05s,285.662694,+48d26m07.3s,48.435371,840.00,105.50,-72.95,0,1060.16,324.49,-324.49,0,14.569,,0,Kepler-band,14.535,,0,5743.00,69.68,-59.41,0,0.95,0.05,-0.07,0,0.93,0.12,-0.08,0,2016-05-10,Kepler
Luhman 16,06.52,0.04,?,HD 221416 b,310,0.19 jupiters,8.146,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7351/hd-221416-b/,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,14.3 days,0.12,HD 221416,b,hd 221416 b,Transit,0,1,14.27670000,0.00370000,-0.00370000,0,0.122800,0.002500,-0.002600,0,0.115000,0.034000,-0.030000,0,85.750,0.360,-0.350,0,0.19000,0.01800,-0.01800,0,Mass,0.836,0.031,-0.028,0,0.43100,0.06400,-0.06000,0,0,0,0,0,23h32m08.07s,353.033630,-21d48m05.1s,-21.801424,95.08,0.72,-0.72,0,95.80,0.73,-0.73,0,8.146,0.014,0,V (Johnson),7.908,,0,5080.00,90.00,-90.00,0,1.21,0.07,-0.07,0,2.94,0.06,-0.06,0,2019-04-18,Transiting Exoplanet Survey Satellite (TESS)
Proxima Centauri,04.25,0.12,0.15,OGLE-2011-BLG-0173L b,19898,0.19 jupiters,,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6378/ogle-2011-blg-0173l-b/,Gas Giant,2018,0.19 Jupiters,0.807 x Jupiter,8.0 AU,35.4 years,0.0,OGLE-2011-BLG-0173L,b,ogle-2011-blg-0173l b,Microlensing,0,1,,,,,8.000000,,,0,,,,,,,,,0.19000,0.18000,-0.11000,0,Mass,,,,,,,,,0,0,0,0,17h57m15.78s,269.315735,-28d14m01.9s,-28.233862,6100.00,1300.00,-1700.00,0,,,,,,,,,,,,,,,,0.41,0.30,-0.21,0,,,,,2018-10-26,OGLE
KIC 8462852,"01,470",1.43,1.58,K2-289 b,883,0.192 jupiters,14.465,2019,https://exoplanets.nasa.gov/exoplanet-catalog/6468/k2-289-b/,Gas Giant,2019,0.192 Jupiters,0.812 x Jupiter,0.107 AU,13.2 days,0.0,K2-288 B,b,k2-288 b b,Transit,0,1,31.39346300,0.00006700,-0.00006900,0,0.164000,0.030000,-0.030000,0,,,,,89.810,0.130,-0.170,0,,,,,,0.170,0.027,-0.027,0,,,,,0,0,1,0,03h41m46.43s,55.443439,+18d16m08.0s,18.268902,65.72,0.87,-0.87,0,65.72,0.87,-0.87,0,13.868,0.120,0,V (Johnson),14.545,,0,3341.00,276.00,-276.00,0,0.33,0.02,-0.02,0,0.32,0.03,-0.03,0,2019-01-10,K2
R136a1,"0163,000",290,32,Kepler-282 d,4537,0.192 jupiters,15.178,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5556/kepler-282-d/,Super Earth,2013,0.192 Jupiters,0.219 x Jupiter,Unknown,24.8 days,0.0,Kepler-282,b,kepler-282 b,Transit,0,4,9.22052400,0.00034100,-0.00034100,0,0.082000,,,0,,,,,,,,,,,,,,0.090,0.022,-0.022,0,,,,,0,1,0,1,18h58m42.55s,284.677277,+44d47m51.7s,44.797684,1390.97,46.40,-46.40,0,1390.97,46.40,-46.40,0,15.204,,0,Kepler-band,15.178,,0,5602.00,155.00,-155.00,0,,,,,0.90,0.21,-0.21,0,2014-05-14,Kepler
Melnick 42,"0163,000",189,21.1,Kepler-702 b,2910,0.194 jupiters,15.31,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4998/kepler-702-b/,Gas Giant,2016,0.194 Jupiters,0.818 x Jupiter,Unknown,10.5 days,0.0,Kepler-701,b,kepler-701 b,Transit,0,1,10.35533177,0.00002064,-0.00002064,0,,,,,,,,,,,,,,,,,,0.253,0.020,-0.040,0,,,,,0,1,0,1,19h15m58.60s,288.994182,+41d37m59.8s,41.633278,755.00,60.84,-47.36,0,791.66,13.65,-13.65,0,15.018,,0,Kepler-band,14.968,,0,5343.00,73.58,-88.55,0,0.88,0.04,-0.05,0,0.84,0.07,-0.05,0,2016-05-10,Kepler
WR 102,"018,134",19,0.39,Kepler-1371 c,1468,0.196 earths,13.834,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2786/kepler-1371-c/,Terrestrial,2016,0.196 Earths,0.64 x Earth,Unknown,2 days,0.0,Kepler-1370,c,kepler-1370 c,Transit,0,2,7.44142113,0.00005404,-0.00005404,0,,,,,,,,,,,,,,,,,,0.113,0.050,-0.016,0,,,,,0,1,0,1,18h58m15.76s,284.565675,+41d46m42.5s,41.778484,878.00,308.50,-128.51,0,1033.99,16.88,-16.88,0,13.701,,0,Kepler-band,13.674,,0,6202.00,115.03,-131.46,0,1.19,0.15,-0.09,0,1.29,0.46,-0.18,0,2016-05-10,Kepler
VFTS 352,"0164,000",57.48,14.47,Kepler-695 b,2022,0.196 jupiters,15.113,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4991/kepler-695-b/,Gas Giant,2016,0.196 Jupiters,0.822 x Jupiter,Unknown,3 days,0.0,Kepler-692,b,kepler-692 b,Transit,0,1,21.81293494,0.00007140,-0.00007140,0,,,,,,,,,,,,,,,,,,0.277,0.033,-0.021,0,,,,,0,1,0,1,19h39m06.44s,294.776840,+40d09m13.5s,40.153738,1000.00,114.51,-80.82,0,1018.97,34.82,-34.82,0,15.540,,0,Kepler-band,15.550,,0,5440.00,157.76,-162.00,0,0.90,0.05,-0.05,0,0.86,0.10,-0.06,0,2016-05-10,Kepler
YBP 1194,"02,772",1.01,0.99,HAT-P-18 b,541,0.197 jupiters,12.759,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1232/hat-p-18-b/,Gas Giant,2010,0.197 Jupiters,0.995 x Jupiter,0.0559 AU,5.5 days,0.08,HAT-P-17,c,hat-p-17 c,Radial Velocity,0,2,5584.00000000,7700.00000000,-2100.00000000,0,5.600000,3.500000,-1.400000,0,0.390000,0.230000,-0.170000,0,,,,,3.40000,1.10000,-0.70000,0,Msini,,,,,,,,,0,0,0,0,21h38m08.74s,324.536396,+30d29m19.4s,30.488716,92.63,0.48,-0.48,0,92.63,0.48,-0.48,0,10.540,,0,V (Johnson),10.274,,0,5246.00,80.00,-80.00,0,0.99,0.15,-0.15,0,0.87,0.04,-0.04,0,2014-05-14,W. M. Keck Observatory
Gliese 1214,047.5,0.16,0.21,Kepler-856 b,3833,0.199 jupiters,15.557,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4305/kepler-856-b/,Gas Giant,2016,0.199 Jupiters,0.83 x Jupiter,Unknown,8 days,0.0,Kepler-851,b,kepler-851 b,Transit,0,1,8.50699658,0.00003708,-0.00003708,0,,,,,,,,,,,,,,,,,,0.150,0.024,-0.019,0,,,,,0,1,0,1,19h38m43.27s,294.680286,+49d08m24.6s,49.140160,869.00,83.89,-60.87,0,859.76,18.02,-18.02,0,15.135,,0,Kepler-band,15.108,,0,5455.00,87.48,-80.92,0,0.89,0.04,-0.05,0,0.85,0.08,-0.06,0,2016-05-10,Kepler
NML Cygni,"05,251",50,"1,640 - 2,770",Kepler-444 d,119,0.2 earths,8.88,2015,https://exoplanets.nasa.gov/exoplanet-catalog/4907/kepler-444-d/,Terrestrial,2015,0.2 Earths,0.53 x Earth,0.06 AU,6.2 days,0.18,Kepler-444,b,kepler-444 b,Transit,0,5,3.60010530,0.00000830,-0.00000800,0,0.041780,0.000790,-0.000790,0,0.160000,0.210000,-0.100000,0,88.000,1.200,-0.600,0,,,,,,0.036,0.001,-0.001,0,,,,,0,1,0,0,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,36.48,0.04,-0.04,0,36.48,0.04,-0.04,0,8.880,0.020,0,V (Johnson),8.643,,0,5046.00,74.00,-74.00,0,0.76,0.04,-0.04,0,0.75,0.01,-0.01,0,2015-01-29,Kepler
VB 10,018.72,0.075,0.10,HD 137388 b,132,0.2 jupiters,8.696,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6925/hd-137388-b/,Gas Giant,2011,0.2 Jupiters,0.832 x Jupiter,0.89 AU,330 days,0.36,HD 137388,b,hd 137388 b,Radial Velocity,0,1,330.00000000,3.00000000,-3.00000000,0,0.890000,0.020000,-0.020000,0,0.360000,0.120000,-0.120000,0,,,,,0.20000,0.02000,-0.02000,0,Msini,,,,,,,,,0,0,0,0,15h35m39.93s,233.916367,-80d12m16.5s,-80.204590,40.53,0.05,-0.05,0,40.53,0.05,-0.05,0,8.696,0.013,0,V (Johnson),8.480,,0,5181.00,29.00,-29.00,0,0.68,0.05,-0.05,0,0.88,0.01,-0.01,0,2018-09-06,La Silla Observatory
WOH G64,"0163,000",<20,"1,540 - 1,730",HD 218566 b,94,0.2 jupiters,8.628,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6836/hd-218566-b/,Gas Giant,2010,0.2 Jupiters,0.832 x Jupiter,0.69 AU,225.7 days,0.3,HD 218566,b,hd 218566 b,Radial Velocity,0,1,225.70000000,0.40000000,-0.40000000,0,0.690000,0.010000,-0.010000,0,0.300000,0.100000,-0.100000,0,,,,,0.20000,0.06000,-0.06000,0,Msini,,,,,,,,,0,0,0,0,23h09m10.73s,347.294708,-02d15m38.7s,-2.260742,28.85,0.04,-0.04,0,28.85,0.04,-0.04,0,8.628,0.016,0,V (Johnson),8.274,,0,4730.00,100.00,-100.00,0,0.76,0.32,-0.32,0,0.85,0.04,-0.04,0,2018-09-06,W. M. Keck Observatory
TRAPPIST-1,039.6,0.089,0.12,HD 220197 b,210,0.2 jupiters,9,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7531/hd-220197-b/,Gas Giant,2018,0.2 Jupiters,0.832 x Jupiter,2.729 AU,4.7 years,0.19,HD 220197,b,hd 220197 b,Radial Velocity,0,1,1728.00000000,162.00000000,-80.00000000,0,2.729000,0.168000,-0.085000,0,0.187000,0.279000,-0.132000,0,,,,,0.20000,0.07000,-0.04000,0,Msini,,,,,,,,,0,0,0,0,23h21m58.29s,350.492859,+16d37m57.1s,16.632538,64.53,0.19,-0.19,0,64.53,0.19,-0.19,0,9.000,0.010,0,V (Johnson),8.745,,0,5683.00,15.00,-15.00,0,0.91,0.02,-0.02,0,0.98,0.02,-0.02,0,2019-11-21,Roque de los Muchachos Observatory
2MASS J0523-1403,040.3,0.07,0.086,WASP-126 c,763,0.20199 jupiters,10.8,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7540/wasp-126-c/,Gas Giant,2019,0.20199 Jupiters,0.837 x Jupiter,Unknown,7.6 days,< 0.05,WASP-124,b,wasp-124 b,Transit,0,1,3.37265000,0.00000100,-0.00000100,0,0.044900,0.000700,-0.000700,0,0.017000,,,1,86.300,0.200,-0.200,0,0.60000,0.07000,-0.07000,0,Mass,1.240,0.030,-0.030,0,0.43000,0.05000,-0.05000,0,0,0,0,0,22h10m51.44s,332.714323,-30d44m58.8s,-30.749672,433.00,11.00,-11.00,0,454.38,7.64,-7.64,0,12.700,0.400,0,V (Johnson),12.575,,0,6050.00,100.00,-100.00,0,1.07,0.05,-0.05,0,1.02,0.02,-0.02,0,2016-05-05,SuperWASP-South
WISE 0855−0714,07.27,0.003,?,Kepler-277 c,3278,0.202 jupiters,13.388,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5547/kepler-277-c/,Gas Giant,2013,0.202 Jupiters,0.3 x Jupiter,Unknown,33 days,0.0,Kepler-276,d,kepler-276 d,Transit,0,3,48.64800000,,,0,,,,,,,,,,,,,0.05100,0.01600,-0.01400,0,Mass,0.250,0.110,-0.024,0,,,,,1,1,0,1,19h34m16.36s,293.568150,+39d02m10.8s,39.036326,1181.73,46.92,-46.92,0,1181.73,46.92,-46.92,0,15.368,,0,Kepler-band,15.365,,0,6105.00,200.00,-200.00,0,,,,,1.05,0.48,-0.48,0,2014-05-14,Kepler
